№;ЛД;ФИО;Статус;Приориетет;Рейтинг;Факультет;Форма обучения;Период обучения;Срок обучения;Курс;Код Специальности;Специальность;Образовательный уровень;Комиссия;Тип док. об обр.;Ср. балл;Награды;Оригинал;Коментарии;Бюджет;Общий конкурс;Целевой конкурс;Дата создания
38790;4067М;Глебович Игнат Дмитриeвич;В приказ;Первый;85,3;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.02;Менеджмент (Профиль: Интегрированная логистика);Магистратура;Магистры;Диплом бакалавра;86,49;без отличия;да;;да;да;нет;05.07.2019 11:01
38791;13071БС;Александров Терентий Терентиeвич;В приказ;Первый;81,3;ФДиПО;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.04;Профессиональное обучение (Профиль: Экономика и управление);Бакалавриат;Бакалавры/Специалисты;Диплом о среднем профессиональном образовании;4,15;без отличия;да;;да;да;нет;10.07.2019 11:02
38793;4068М;Александровская Мария Семеновна;Отказ;Первый;15,35;Экономфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;38.04.02;Менеджмент;Магистратура;Магистры;Диплом бакалавра;76,77;без отличия;нет;Заявление абитуриента;нет;да;нет;05.07.2019 11:04
38794;13072БС;Кондратович Инесса Александровна;В приказ;Первый;89,24;Биофак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;06.03.2001;Биология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,61;без отличия;да;;да;да;нет;10.07.2019 11:05
38795;13073БС;Кондратович Вероника Борисовна;В приказ;Первый;97,3;Учфин;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.01;Экономика (Профиль: Финансы и кредит);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;да;;да;нет;нет;10.07.2019 11:05
38799;13073БС;Кондратович Вероника Борисовна;Отклонено;Второй;97,3;Учфин;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.06;Торговое дело;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;10.07.2019 11:07
38800;13074БС;Иннокентиенко Светлана Степановна;Отклонено;Второй;94,4;Филфак;заочная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;да;Отказался от участия в конкурсе;нет;да;нет;10.07.2019 11:07
38796;13074БС;Иннокентиенко Светлана Степановна;В приказ;Первый;94,4;Филфак;заочная;Нормативный;4 года 00 мес.;1 (первый) курс;51.03.01;Культурология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;да;;нет;да;нет;10.07.2019 11:06
38797;4069М;Андреенко Андрей Трофимович;В приказ;Первый;91,72;ИФКС;очная;Нормативный;2 года 00 мес.;1 (первый) курс;49.04.01;Физическая культура;Магистратура;Магистры;Диплом бакалавра;88,08;без отличия;да;;да;да;нет;05.07.2019 11:06
38801;4069М;Андреенко Андрей Трофимович;Отклонено;Второй;91,72;ИФКС;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;49.04.01;Физическая культура;Магистратура;Магистры;Диплом бакалавра;88,08;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;05.07.2019 11:07
38798;13075БС;Дмитриенко Евгения Семеновна;В приказ;Первый;63,08;Экономфак;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;38.05.01;Экономическая безопасность;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,77;без отличия;да;;нет;да;нет;10.07.2019 11:06
38802;13076БС;Александренко Марина Иннокентиeвна;В приказ;Первый;86,18;Пединститут;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,27;без отличия;да;;да;да;нет;10.07.2019 11:09
38805;13076БС;Александренко Марина Иннокентиeвна;Отклонено;Второй;86,18;Пединститут;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика дошкольного образования);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,27;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;10.07.2019 11:10
38803;4431У;Владимирович Лариса Алексеeвна;В приказ;Первый;76,16;Юрфак;заочная;Ускоренный;3 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,52;без отличия;да;;нет;да;нет;10.07.2019 11:09
38804;13077БС;Кирилленко Светлана Тимофеeвна;В приказ;Первый;91,52;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.02;Лингвистика (Профиль: Теория и методика преподавания иностранных языков и культур (английский язык));Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,73;без отличия;да;;да;да;нет;10.07.2019 11:10
38806;13077БС;Кирилленко Светлана Тимофеeвна;Отклонено;Второй;91,52;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.01;Филология (Профиль: Зарубежная филология (французский язык и литература));Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,73;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;10.07.2019 11:11
38807;13078БС;Трофимовская Вероника Иннокентиeвна;Отклонено;Первый;82,94;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,81;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:11
38814;13078БС;Трофимовская Вероника Иннокентиeвна;Отклонено;Второй;82,94;Пединститут;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,81;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:13
38808;4070М;Тимофеевич Евгения Владимировна;В приказ;Первый;80,43;Пединститут;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;44.04.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Магистратура;Магистры;Диплом бакалавра;87,17;без отличия;да;;да;да;нет;05.07.2019 11:11
38809;3226ПВ;Кирилловская Татьяна Трофимовна;В приказ;Первый;44,85;ИФКС;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;49.03.01;Физическая культура (Профиль: Спортивная тренировка);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;189,7;без отличия;да;;да;да;нет;20.06.2019 11:11
38810;4071М;Тимофеев Борис Борисович;В приказ;Первый;64,66;ФМИТ;очная;Нормативный;2 года 00 мес.;1 (первый) курс;44.04.01;Педагогическое образование (Профиль: Математическое образование);Магистратура;Магистры;Диплом бакалавра;68,29;без отличия;да;;да;да;нет;05.07.2019 11:12
38811;4432У;Андреенко Иннокентий Степанович;Отказ;Второй;33,2;ФМИТ;заочная;Ускоренный;2 года 00 мес.;1 (первый) курс;46.03.02;Документоведение и архивоведение;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;4,15;без отличия;да;не явился на вступительное испытание;да;да;нет;10.07.2019 11:12
38812;4072М;Алексеев Игнат Александрович;В приказ;Первый;77,81;Биофак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;06.04.2001;Биология;Магистратура;Магистры;Диплом бакалавра;79,04;без отличия;да;;да;да;нет;08.07.2019 12:31
38813;13079БС;Владимировский Александр Александрович;Отклонено;Первый;80,4;Истфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;41.03.04;Политология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,0;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:13
38817;13079БС;Владимировский Александр Александрович;Отклонено;Второй;80,4;Истфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;46.03.01;История;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,0;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:14
38815;13080БС;Степановская Ирина Александровна;Отклонено;Первый;101,1;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;серебряная медаль;нет;;да;да;нет;10.07.2019 11:14
38816;4433У;Терентиев Степан Степанович;В приказ;Первый;80,92;Пединститут;заочная;Ускоренный;3 года 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,89;без отличия;да;;да;да;нет;10.07.2019 11:14
38818;4433У;Терентиев Степан Степанович;Отклонено;Второй;77,92;Пединститут;заочная;Ускоренный;3 года 00 мес.;1 (первый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,89;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;10.07.2019 11:15
38819;13081БС;Семенов Трофим Владимирович;В приказ по квоте;Первый;79,0;Филфак;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,5;без отличия;да;;да;нет;нет;10.07.2019 11:16
38820;3227ПВ;Степанова Вера Трофимовна;В приказ;Первый;78,68;Физтех;заочная;Нормативный;4 года 00 мес.;4 (четвертый) курс;09.03.2001;Информатика и вычислительная техника;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,96;без отличия;да;;нет;да;нет;10.07.2019 11:16
38821;13082БС;Кириллович Екатерина Дмитриeвна;В приказ;Первый;67,24;ФМИТ;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;44.03.05;Педагогическое образование (Профиль: Математика и информатика);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,36;без отличия;да;;нет;да;нет;10.07.2019 11:17
38822;4073М;Степаненко Мария Кондратовна;В приказ;Первый;82,02;ФМИТ;очная;Нормативный;2 года 00 мес.;1 (первый) курс;01.04.2002;Прикладная математика и информатика;Магистратура;Магистры;Диплом бакалавра;77,6;без отличия;да;;да;да;нет;05.07.2019 11:17
38823;13083БС;Тимофеевская Вероника Ивановна;Отклонено;Первый;90,76;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,09;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:18
38827;4074М;Семеновская Анастасия Трофимовна;В приказ по квоте;Первый;78,96;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.02;Менеджмент (Профиль: Интегрированная логистика);Магистратура;Магистры;Диплом бакалавра;79,81;без отличия;да;;да;нет;нет;05.07.2019 11:27
38828;4075М;Иваненко Марина Глебовна;Аннулировано;Первый;63,98;ИФКС;очная;Нормативный;2 года 00 мес.;1 (первый) курс;49.04.01;Физическая культура;Магистратура;Магистры;Диплом бакалавра;75,88;без отличия;да;;да;да;нет;05.07.2019 11:28
38830;4075М;Иваненко Марина Глебовна;В приказ;Второй;63,98;ИФКС;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;49.04.01;Физическая культура;Магистратура;Магистры;Диплом бакалавра;75,88;без отличия;да;;да;да;нет;05.07.2019 11:28
38829;13084БС;Дмитриева Наталья Дмитриeвна;Отчислен;Первый;90,92;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.03;Фундаментальная и прикладная лингвистика;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,73;без отличия;да;;да;да;нет;10.07.2019 11:28
38833;13084БС;Дмитриева Наталья Дмитриeвна;Отклонено;Второй;90,92;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;51.03.01;Культурология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,73;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;10.07.2019 11:31
38831;4076М;Игнатовский Семен Тимофеeвич;В приказ по квоте;Первый;86,8;Физтех;очная;Нормативный;2 года 00 мес.;1 (первый) курс;09.04.2001;Информатика и вычислительная техника;Магистратура;Магистры;Диплом бакалавра;89,02;с отличием;да;;да;нет;нет;05.07.2019 11:28
38832;4076М;Игнатовский Семен Тимофеeвич;Отменено;Второй;86,8;Физтех;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;09.04.2001;Информатика и вычислительная техника;Магистратура;Магистры;Диплом бакалавра;89,02;с отличием;да;абитуриент претендует на квоту;да;да;нет;05.07.2019 11:29
38834;4077М;Андреевич Галина Тимофеeвна;В приказ;Первый;73,82;Биофак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;06.04.2001;Биология;Магистратура;Магистры;Диплом бакалавра;76,6;без отличия;да;;да;да;нет;08.07.2019 12:31
38835;4077М;Андреевич Галина Тимофеeвна;Отклонено;Второй;73,82;Биофак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;06.04.2001;Биология (Профиль: Физиология человека и животных);Магистратура;Магистры;Диплом бакалавра;76,6;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;нет;да;нет;10.07.2019 11:33
38836;13085БС;Андреев Николай Николаeвич;В приказ;Первый;75,64;Биофак;заочная;Нормативный;4 года 00 мес.;1 (первый) курс;06.03.2001;Биология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,76;без отличия;да;;да;да;нет;10.07.2019 11:33
38841;13085БС;Андреев Николай Николаeвич;Отказ;Второй;40,64;Пединститут;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,76;без отличия;да;неявка на экзамен;да;да;нет;10.07.2019 11:36
38837;13086БС;Кондратенко Серафим Тимофеeвич;Аннулировано;Первый;81,02;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,73;без отличия;да;;да;да;нет;10.07.2019 11:33
38840;13086БС;Кондратенко Серафим Тимофеeвич;В приказ;Второй;81,02;Истфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;41.03.04;Политология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,73;без отличия;да;;да;да;нет;10.07.2019 11:34
38909;4434У;Александрович Борис Игнатович;Отклонено;Второй;83,0;Физтех;очная;Ускоренный;3 года 00 мес.;1 (первый) курс;10.03.2001;Информационная безопасность;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;4,15;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;10.07.2019 12:57
38838;4434У;Александрович Борис Игнатович;В приказ;Первый;83,0;Физтех;очная;Ускоренный;3 года 00 мес.;1 (первый) курс;09.03.2001;Информатика и вычислительная техника;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;4,15;без отличия;да;;да;да;нет;10.07.2019 11:34
38839;13087БС;Трофимовская Зинаида Трофимовна;Отменено;Первый;16,68;ИФКС;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;83,4;без отличия;да;по доп набору;да;да;нет;10.07.2019 11:34
41134;13087БС;Трофимовская Зинаида Трофимовна;В приказ;Первый;68,78;ИФКС;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;83,4;без отличия;да;;да;да;нет;04.09.2019 10:42
38842;13088БС;Иннокентиева Инна Ивановна;Отклонено;Первый;79,68;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,77;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:36
38846;13088БС;Иннокентиева Инна Ивановна;Отклонено;Второй;79,68;Истфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;46.03.01;История;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,77;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:37
38848;13088БС;Иннокентиева Инна Ивановна;Отклонено;Третий;79,68;Филфак;заочная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,77;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:38
38843;13089БС;Терентиевич Александра Николаeвна;Отменено;Первый;19,52;ИФКС;очная;Нормативный;4 года 00 мес.;1 (первый) курс;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);Бакалавриат;Бакалавры/Специалисты;Диплом квалифицированного работника;97,6;без отличия;да;по доп набору;нет;да;нет;10.07.2019 11:36
40860;13089БС;Терентиевич Александра Николаeвна;В приказ;Первый;80,92;ИФКС;очная;Нормативный;4 года 00 мес.;1 (первый) курс;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);Бакалавриат;Бакалавры/Специалисты;Диплом квалифицированного работника;97,6;без отличия;да;;нет;да;нет;02.09.2019 13:26
38844;13090БС;Кондратович Тамара Игнатовна;Отклонено;Первый;91,74;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.03;Управление персоналом;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,36;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:36
38847;13090БС;Кондратович Тамара Игнатовна;Отклонено;Второй;91,74;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.02;Менеджмент;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,36;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:37
38845;13091БС;Игнатенко Борис Борисович;В приказ;Первый;86,1;Пединститут;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,0;без отличия;да;;да;да;нет;10.07.2019 11:36
38849;13091БС;Игнатенко Борис Борисович;Отклонено;Второй;86,1;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.01;Филология (Профиль: Русский язык и литература);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,0;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;10.07.2019 11:38
38850;13092БС;Александров Александр Владимирович;Отклонено;Первый;88,2;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,5;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:38
38851;13092БС;Александров Александр Владимирович;Отклонено;Второй;85,2;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.02;Менеджмент;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,5;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:40
38852;4078М;Кондратович Александр Трофимович;Отказ;Первый;16,69;Филфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;44.04.02;Психолого-педагогическое образование (Профиль: Психология в сфере образования);Магистратура;Магистры;Диплом бакалавра;83,45;без отличия;да;в связи с неявкой на экзамены;да;да;нет;05.07.2019 11:40
38853;4079М;Семененко Александр Игнатович;В приказ по квоте;Первый;75,42;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.04;Государственное и муниципальное управление (Профиль: GR-менеджмент. Взаимодействие бизнеса и органов;Магистратура;Магистры;Диплом бакалавра;84,58;без отличия;да;;да;нет;нет;05.07.2019 11:42
38856;4079М;Семененко Александр Игнатович;Отменено;Второй;16,92;Экономфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;38.04.02;Менеджмент (Профиль: Бизнес-администрирование);Магистратура;Магистры;Диплом бакалавра;84,58;без отличия;да;Абитуриент претендует на квоту по Гуманитарной программе;да;да;нет;05.07.2019 11:44
38854;4435У;Кондратова Людмила Степановна;В приказ;Первый;60,84;Химфак;заочная;Ускоренный;4 года 00 мес.;1 (первый) курс;04.05.2001;Фундаментальная и прикладная химия;Специалитет;СПО;Диплом о среднем профессиональном образовании;3,03;без отличия;да;;нет;да;нет;10.07.2019 11:43
38855;4436У;Игнатовский Александр Кондратович;В приказ;Первый;73,2;Пединститут;очная;Ускоренный;3 года 00 мес.;1 (первый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;4,2;без отличия;да;;да;да;нет;10.07.2019 11:44
38867;4436У;Игнатовский Александр Кондратович;Отклонено;Второй;79,8;Пединститут;очная;Ускоренный;2 года 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика дошкольного образования);Бакалавриат;СПО;Диплом о среднем профессиональном образовании;4,2;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;10.07.2019 11:50
38857;4080М;Тимофеенко Александра Терентиeвна;В приказ;Первый;77,23;Химфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;04.04.2001;Химия;Магистратура;Магистры;Диплом бакалавра;91,13;с отличием;да;;да;да;нет;08.07.2019 12:31
38858;4081М;Иваненко Семен Николаeвич;В приказ;Первый;84,17;Пединститут;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;44.04.01;Педагогическое образование (Профиль: Музыкальное образование);Магистратура;Магистры;Диплом бакалавра;85,83;без отличия;да;;да;да;нет;05.07.2019 11:46
38859;13093БС;Андреевич Екатерина Степановна;В приказ по квоте;Первый;74,48;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;42.03.01;Реклама и связи с общественностью;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,62;без отличия;да;;да;нет;нет;10.07.2019 11:46
38860;13094БС;Иннокентиевич Зинаида Ивановна;Допущено;Первый;80,42;Филфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,28;без отличия;да;;да;да;нет;10.07.2019 11:46
38862;13094БС;Иннокентиевич Зинаида Ивановна;В приказ;Второй;80,42;Филфак;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,28;без отличия;да;;да;да;нет;10.07.2019 11:48
38866;13094БС;Иннокентиевич Зинаида Ивановна;Аннулировано;Третий;80,42;Пединститут;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,28;без отличия;да;;да;да;нет;10.07.2019 11:49
38868;13095БС;Петренко Дмитрий Терентиeвич;Отклонено;Второй;94,54;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;01.03.2002;Прикладная математика и информатика;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,31;без отличия;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;10.07.2019 11:50
38861;13095БС;Петренко Дмитрий Терентиeвич;Отклонено;Первый;94,54;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;09.03.2004;Программная инженерия;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,31;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:48
38863;4082М;Игнатовская Серафима Степановна;В приказ;Первый;80,73;ФМИТ;очная;Нормативный;2 года 00 мес.;1 (первый) курс;09.04.2004;Программная инженерия;Магистратура;Магистры;Диплом бакалавра;93,67;с отличием;да;;да;да;нет;05.07.2019 11:48
38875;4082М;Игнатовская Серафима Степановна;Отказ;Второй;41,73;ФМИТ;очная;Нормативный;2 года 00 мес.;1 (первый) курс;44.04.01;Педагогическое образование (Профиль: Математическое образование);Магистратура;Магистры;Диплом бакалавра;93,67;с отличием;да;Неявка на испытание по специальности;да;да;нет;05.07.2019 11:52
38864;13096БС(ВВ);Степановский Тимофей Глебович;В приказ;Первый;73,0;Физтех;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;44.03.05;Педагогическое образование (Профиль: Физика и информатика);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,95;без отличия;да;;нет;да;нет;10.07.2019 11:49
38865;13097БС;Борисова Ксения Серафимовна;Отклонено;Первый;92,84;Истфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;46.03.01;История;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,56;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:49
38871;13097БС;Борисова Ксения Серафимовна;Отклонено;Второй;92,84;Истфак;заочная;Нормативный;4 года 00 мес.;1 (первый) курс;46.03.01;История;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,56;без отличия;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;10.07.2019 11:50
38869;13098БС;Степановская Виктория Кондратовна;В приказ;Первый;85,98;ИФКС;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;97,6;без отличия;да;;да;да;нет;10.07.2019 11:50
38870;4083М;Петрова Ольга Андреeвна;В приказ;Первый;64,02;Экономфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;38.04.01;Экономика (Профиль: Экономика предприятий);Магистратура;Магистры;Диплом бакалавра;67,6;без отличия;да;;нет;да;нет;05.07.2019 11:50
38872;4084М;Игнатовская Виктория Глебовна;В приказ;Первый;73,96;ФМИТ;очная;Нормативный;2 года 00 мес.;1 (первый) курс;09.04.2004;Программная инженерия;Магистратура;Магистры;Диплом бакалавра;92,3;с отличием;да;;да;да;нет;05.07.2019 11:51
38876;4084М;Игнатовская Виктория Глебовна;Отказ;Второй;41,46;ФМИТ;очная;Нормативный;2 года 00 мес.;1 (первый) курс;44.04.01;Педагогическое образование (Профиль: Математическое образование);Магистратура;Магистры;Диплом бакалавра;92,3;с отличием;да;Неявка на испытание по специальности;да;да;нет;05.07.2019 11:53
38873;4085М;Борисовская Зинаида Терентиeвна;В приказ;Первый;105,11;Биофак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;06.04.2001;Биология;Магистратура;Магистры;Диплом бакалавра;83,57;без отличия;да;;да;да;нет;08.07.2019 12:31
38874;13099БС;Семеновский Алексей Игнатович;Отклонено;Первый;106,1;ФМИТ;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;44.03.05;Педагогическое образование (Профиль: Математика и информатика);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;нет;Отказался от участия в конкурсе;да;да;нет;10.07.2019 11:51
